"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Period Mean (original grids)","MeanState","global","scalar","%","0.611164","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Model Period Mean (intersection)","MeanState","global","scalar","%","0.663221","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Model Period Mean (complement)","MeanState","global","scalar","%","0.0871574","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Spatial Distribution Score","MeanState","global","score","1","0.772351","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Phase Shift","MeanState","global","scalar","months","2.05853","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Seasonal Cycle Score","MeanState","global","score","1","0.84569","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Bias","MeanState","global","scalar","%","0.333445","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Bias Score","MeanState","global","score","1","0.728089","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","RMSE","MeanState","global","scalar","%","0.983043","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","RMSE Score","MeanState","global","score","1","0.505759","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Overall Score","MeanState","global","score","1","0.671529","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-annual_wet_amp","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-annual_wet_amp","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-annual_wet_amp","Period Mean (original grids)","MeanState","global","scalar","%","0.453127","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-annual_wet_amp","Model Period Mean (intersection)","MeanState","global","scalar","%","0.491557","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-annual_wet_amp","Model Period Mean (complement)","MeanState","global","scalar","%","0.0662871","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-annual_wet_amp","Spatial Distribution Score","MeanState","global","score","1","0.738642","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-annual_wet_amp","Phase Shift","MeanState","global","scalar","months","2.05818","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-annual_wet_amp","Seasonal Cycle Score","MeanState","global","score","1","0.84682","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-annual_wet_amp","Bias","MeanState","global","scalar","%","0.161782","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-annual_wet_amp","Bias Score","MeanState","global","score","1","0.733769","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-annual_wet_amp","RMSE","MeanState","global","scalar","%","0.837179","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-annual_wet_amp","RMSE Score","MeanState","global","score","1","0.511839","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-annual_wet_amp","Overall Score","MeanState","global","score","1","0.668582","80.0"
